Ações por Índice
Dados de 1 a 4 de 2024
Empresa;Código;Índices dos quais participa
GAFISA;ON   NM;GFSA3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ISEE,ITAG,SMLL;
GE;DRN;GEOO34;BDRX;
GENERAL MOT;DRN;GMCO34;BDRX;
GER PARANAP;PN;GEPA4;ITAG;
GERDAU;ON   N1;GGBR3;IGCX,ITAG;
GERDAU;PN   N1;GGBR4;GPTW,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDIV,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,MLCX;
GERDAU MET;ON   N1;GOAU3;IGCX,ITAG;
GERDAU MET;PN   N1;GOAU4;IBOV,IBRA,IBSD,IBXX,IDIV,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,SMLL;
GETNINJAS;ON   NM;NINJ3;IGCX,IGNM,ITAG;
GOLDMANSACHS;DRN;GSGI34;BDRX;
GPS;ON   NM;GGPS3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL;
GRAZZIOTIN;ON;CGRA3;ITAG;
GRAZZIOTIN;PN;CGRA4;ITAG;
GRENDENE;ON   NM;GRND3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL;
GRUPO MATEUS;ON   NM;GMAT3;AGFS,IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,MLCX;
GRUPO NATURA;ON   NM;NTCO3;IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,MLCX;
GRUPO SBF;ON   NM;SBFG3;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL;
GRUPO SOMA;ON   NM;SOMA3;IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL;
GUARARAPES;ON   NM;GUAR3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL;
HAPVIDA;ON   NM;HAPV3;IBOV,IBRA,IBXL,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,MLCX;
HBR REALTY;ON   NM;HBRE3;IGCX,IGNM,ITAG;
HELBOR;ON   NM;HBOR3;IGCX,IGNM,ITAG;
HIDROVIAS;ON   NM;HBSA3;AGFS,GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL;
HOME DEPOT;DRN;HOME34;BDRX;
HONDA MO;DRN;HOND34;BDRX;
HP COMPANY;DRN;HPQB34;BDRX;
HYPERA;ON   NM;HYPE3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX;
IGUATEMI S.A;UNT  N1;IGTI11;IBOV,IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IMOB,ISEE,ITAG,SMLL;
IMC S/A;ON   NM;MEAL3;IGCX,IGNM,ITAG;
INEPAR;ON;INEP3;ITAG;
INEPAR;PN;INEP4;ITAG;
INFRACOMM;ON   NM;IFCM3;GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL;
INTEL;DRN;ITLC34;BDRX;
INTELBRAS;ON   NM;INTB3;GPTW,IBRA,IGCT,IGCX,IGNM,INDX,ITAG,SMLL;
IOCHP-MAXION;ON   NM;MYPK3;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL;
IRANI;ON   NM;RANI3;AGFS,GPTW,IBRA,IDIV,IGCT,IGCX,IGNM,IMAT,INDX,ISEE,ITAG,SMLL;
IRBBRASIL RE;ON   NM;IRBR3;IBOV,IBRA,IBXX,IDVR,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL;
ITAUSA;ON   N1;ITSA3;IGCX;
ITAUSA;PN   N1;ITSA4;GPTW,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDIV,IDVR,IGCT,IGCX,ISEE,ITAG,MLCX;
ITAUUNIBANCO;ON   N1;ITUB3;IBRA,IDVR,IFNC,IGCT,IGCX,MLCX;
ITAUUNIBANCO;PN   N1;ITUB4;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX;
JALLESMACHAD;ON   NM;JALL3;AGFS,GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
JBS;ON   NM;JBSS3;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ITAG,IVBX,MLCX;
JD COM;DRN;JDCO34;BDRX;
JHSF PART;ON   NM;JHSF3;GPTW,IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL;
JOHNSON;DRN;JNJB34;BDRX;
JPMORGAN;DRN;JPMC34;BDRX;
JSL;ON   NM;JSLG3;IGCX,IGNM,ISEE,ITAG;
KEPLER WEBER;ON   NM;KEPL3;AGFS,GPTW,IBRA,IDIV,IGCT,IGCX,IGNM,INDX,ITAG,SMLL;
KINGSOFT CHL;DRN;K2CG34;BDRX;
KLABIN S/A;UNT  N2;KLBN11;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IGCT,IGCX,IMAT,INDX,ISEE,ITAG,IVBX,MLCX;
KRAFT HEINZ;DRN;KHCB34;BDRX;
LAVVI;ON   NM;LAVV3;IBRA,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL;
